Area,Year,1. Median,2. Median,3. Median,4. Median,5. Median,6. Median,7. Median,8. Median,9. Median,10. Median
TRB2 (Van Muş Bitlis Hakkari),2019,4943.98,6571.57,7859.57,9012.59,10476.01,11997.25,14448.94,16509.55,20338.73,36381.9
TRC1 (Gaziantep Adıyaman Kilis),2019,7369.57,9679.86,11238.1,12580,13916.67,15950.53,18880.51,22911.56,28343.79,47663.41
TRC2 (Şanlıurfa Diyarbakır),2019,4305.09,5837.14,7028.38,8165.21,9569.83,11168.28,13299.52,16166.98,20776.94,39743.81
TRC3 (Mardin Batman Şırnak Siirt),2019,3857.84,6093.17,7400.26,8324.1,9515,11278.16,13003.32,15474.64,19492.77,30093.02
TR Türkiye,2018,6086.06,9157.59,11575.5,13958.15,16459.53,19332.15,22861.44,27535.99,35816.67,58061.7
TR10 (İstanbul),2018,8809.2,12699.14,15465.06,18581.23,21901.93,25484.71,30152.6,37305.21,49174.24,93290.78
TR21 (Tekirdağ Edirne Kırklareli),2018,8351.16,11814.03,14698.75,17765.97,20930.78,23487.28,27672.31,33831.94,43150.67,75655.75
TR22 (Balıkesir Çanakkale),2018,5745.81,9389.06,11893.39,13535.65,15918.98,18511.73,21825.18,25372.66,32526.71,50612.47
TR31 (İzmir),2018,9207.19,12671.57,15559.11,18518.57,21570.72,24583.18,29412.16,35164.62,45536,67828.01
TR32 (Aydın Denizli Muğla),2018,8166.67,10654.92,13072.22,15401.06,17549.62,20000,23202,27191.78,33702.01,48866.08
TR33 (Manisa Afyon Kütahya Uşak),2018,7842.86,10437.5,12294.83,14486.15,16298.01,18559.81,21038.52,24867.04,30301.47,45545.19
TR41 (Bursa Eskişehir Bilecik),2018,9002.68,12099.18,14873.8,17041.58,20000,23276.86,26341.44,29548.41,37447.72,51863.31
TR42 (Kocaeli Sakarya Düzce Bolu Yalova),2018,8375,11705.96,14512.21,16949.41,19148.42,21392.98,24359.41,28607.86,34348.19,55287.62
TR51 (Ankara),2018,8692.4,12955.49,15689.43,18219.18,20784.96,23766.25,27797.17,33371.47,43515.83,70488.54
TR52 (Konya Karaman),2018,5787.61,9405.71,11757.51,13814,15712.24,18025.2,20733.33,25236.09,32048.17,51028.71
